Timestamp, 0Pitch,0Yaw,0Roll,0DirectionX,0DirectionY,0DirectionZ,0ArmDirectionX,0ArmDirectionY, 0ArmDirectionZ,0PalmNormalX,0PalmNormalY,0PalmNormalZ,0HandVelocityX,0HandVelocityY,0HandVelocityZ,0PalmPositionX,0PalmPositionY,0PalmPositionZ,0WristPositionX,0WristPositionY,0WristPositionZ,0ThumbMetaPrevX,0ThumbMetaPrevY, 0ThumbMetaPrevZ,0ThumbMetaNextX,0ThumbMetaNextY, 0ThumbMetaNextZ,0ThumbProxNextX,0ThumbProxNextY, 0ThumbProxNextZ,0ThumbInterNextX,0ThumbInterNextY, 0ThumbInterNextZ,0ThumbDistNextX,0ThumbDistNextY, 0ThumbDistNextZ,0IndexMetaPrevX,0IndexMetaPrevY, 0IndexMetaPrevZ,0IndexMetaNextX,0IndexMetaNextY, 0IndexMetaNextZ,0IndexProxNextX,0IndexProxNextY, 0IndexProxNextZ,0IndexInterNextX,0IndexInterNextY, 0IndexInterNextZ,0IndexDistNextX,0IndexDistNextY, 0IndexDistNextZ,0MiddleMetaPrevX,0MiddleMetaPrevY, 0MiddleMetaPrevZ,0MiddleMetaNextX,0MiddleMetaNextY, 0MiddleMetaNextZ,0MiddleProxNextX,0MiddleProxNextY, 0MiddleProxNextZ,0MiddleInterNextX,0MiddleInterNextY, 0MiddleInterNextZ,0MiddleDistNextX,0MiddleDistNextY, 0MiddleDistNextZ,0RingMetaPrevX,0MiddleMetaPrevY, 0MiddleMetaPrevZ,0RingMetaNextX,0RingMetaNextY, 0RingMetaNextZ,0RingProxNextX,0RingProxNextY, 0RingProxNextZ,0RingInterNextX,0RingInterNextY, 0RingInterNextZ,0RingDistNextX,0RingDistNextY, 0RingDistNextZ,0PinkyMetaPrevX,0PinkyMetaPrevY, 0PinkyMetaPrevZ,0PinkyMetaNextX,0PinkyMetaNextY, 0PinkyMetaNextZ,0PinkyProxNextX,0PinkyProxNextY, 0PinkyProxNextZ,0PinkyInterNextX,0PinkyInterNextY, 0PinkyInterNextZ,0PinkyDistNextX,0PinkyDistNextY, 0PinkyDistNextZ,ActivityClass
07.18.42.833057,1.923942,1.976156,1.287527,0.463065,0.88611,0.0194826,0.633304,0.773902,0.00173575,0.53775,-0.156538,-0.828445,2.27609,2.74575,-0.833233,-93.0001,262.465,189.872,-135.096,206.927,180.493,-132.03,236.14,161.893,-132.03,236.14,161.893,-130.331,282.133,159.988,-115.788,309.96,160.6,-100.554,316.327,162.295,-134.024,240.337,183.196,-93.4609,294.555,187.136,-61.6837,318.145,186.01,-42.7952,328.214,179.956,-32.5876,332.364,174.95,-126.352,235.534,190.296,-82.3916,281.753,198.58,-47.2525,308.653,195.116,-26.1449,322.061,187.415,-15.5835,327.929,181.845,-118.113,228.766,193.911,-73.9933,264.177,205.517,-40.3325,286.76,198.439,-19.9041,298.547,188.783,-9.63478,303.926,182.403,-109.682,218.801,192.528,-66.6295,246.192,208.467,-40.18,264.114,202.025,-26.5223,272.722,194.077,-18.0763,277.722,186.789,pick
07.18.42.851010,1.92411,1.976262,1.287341,0.46323,0.88603,0.0192248,0.632723,0.774376,0.00176983,0.537937,-0.156701,-0.828293,-2.63534,3.26271,-1.18401,-93.023,262.493,189.862,-135.12,206.956,180.477,-132.05,236.173,161.876,-132.05,236.173,161.876,-130.342,282.164,159.954,-115.795,309.989,160.558,-100.559,316.352,162.253,-134.05,240.372,183.177,-93.478,294.583,187.123,-61.6964,318.166,186.009,-42.8039,328.219,179.945,-32.5963,332.356,174.93,-126.38,235.568,190.279,-82.4132,281.78,198.571,-47.2694,308.672,195.117,-26.1583,322.065,187.404,-15.5979,327.919,181.819,-118.143,228.799,193.896,-74.0201,264.202,205.511,-40.3499,286.763,198.411,-19.9236,298.52,188.719,-9.66031,303.878,182.314,-109.714,218.832,192.517,-66.6604,246.216,208.466,-40.2024,264.112,201.99,-26.5515,272.696,194.005,-18.1157,277.677,186.693,pick
07.18.42.865970,1.924679,1.976804,1.287835,0.463167,0.886053,0.0196865,0.632784,0.774327,0.00143738,0.538116,-0.156464,-0.828221,-2.47462,4.85392,2.29187,-93.0599,262.549,189.921,-135.161,207.019,180.513,-132.082,236.243,161.917,-132.082,236.243,161.917,-130.393,282.235,160.011,-115.848,310.061,160.629,-100.611,316.417,162.331,-134.088,240.436,183.219,-93.5114,294.641,187.194,-61.7114,318.197,186.067,-42.8126,328.224,179.982,-32.6056,332.34,174.949,-126.42,235.628,190.32,-82.4501,281.831,198.639,-47.2962,308.711,195.207,-26.1799,322.086,187.48,-15.6192,327.927,181.883,-118.184,228.856,193.937,-74.0605,264.25,205.575,-40.3777,286.783,198.453,-19.9523,298.512,188.727,-9.69505,303.849,182.296,-109.756,218.888,192.557,-66.7037,246.262,208.526,-40.2451,264.149,202.031,-26.6039,272.72,194.016,-18.1809,277.687,186.681,pick
07.18.42.881928,1.924974,1.976893,1.287356,0.463824,0.885716,0.0193518,0.631543,0.775336,0.00261745,0.538394,-0.156825,-0.827972,-1.82116,4.095,4.24978,-93.101,262.624,189.969,-135.206,207.099,180.542,-132.123,236.331,161.953,-132.123,236.331,161.953,-130.434,282.322,160.018,-115.868,310.136,160.626,-100.621,316.469,162.33,-134.137,240.528,183.253,-93.538,294.716,187.237,-61.7148,318.24,186.128,-42.8034,328.238,180.039,-32.592,332.335,175.001,-126.473,235.717,190.358,-82.4862,281.902,198.688,-47.3135,308.757,195.279,-26.185,322.11,187.55,-15.621,327.932,181.942,-118.242,228.942,193.979,-74.1074,264.318,205.631,-40.4012,286.799,198.464,-19.9731,298.48,188.688,-9.72165,303.783,182.221,-109.818,218.97,192.605,-66.7598,246.328,208.588,-40.2952,264.188,202.048,-26.6641,272.731,193.988,-18.2514,277.678,186.628,pick
07.18.42.898883,1.924786,1.976395,1.286801,0.464676,0.885294,0.0182026,0.631368,0.775479,0.00267913,0.538102,-0.157064,-0.828116,-2.39193,6.16361,-0.52561,-93.1402,262.721,189.975,-135.262,207.207,180.561,-132.18,236.44,161.973,-132.18,236.44,161.973,-130.483,282.429,159.988,-115.891,310.23,160.559,-100.631,316.537,162.249,-134.186,240.639,183.272,-93.5672,294.813,187.241,-61.7354,318.325,186.137,-42.8202,328.312,180.043,-32.6089,332.398,174.996,-126.521,235.826,190.375,-82.5164,281.997,198.69,-47.33,308.831,195.272,-26.1965,322.172,187.539,-15.6318,327.986,181.924,-118.292,229.048,193.995,-74.1416,264.41,205.631,-40.4193,286.848,198.409,-19.9908,298.499,188.599,-9.74335,303.783,182.11,-109.871,219.074,192.62,-66.7994,246.417,208.588,-40.3297,264.256,202.011,-26.7008,272.786,193.935,-18.29,277.726,186.567,pick
07.18.42.913842,1.924726,1.976126,1.28591,0.46584,0.884698,0.0173956,0.63224,0.774771,0.00154534,0.538306,-0.157644,-0.827874,-1.52545,4.16561,2.24285,-93.191,262.772,190.001,-135.34,207.275,180.606,-132.232,236.495,161.998,-132.232,236.495,161.998,-130.508,282.481,159.963,-115.879,310.263,160.509,-100.607,316.541,162.196,-134.244,240.705,183.294,-93.604,294.863,187.253,-61.771,318.373,186.177,-42.8498,328.348,180.084,-32.6368,332.419,175.029,-126.584,235.891,190.401,-82.5619,282.046,198.711,-47.3544,308.849,195.271,-26.2113,322.163,187.521,-15.6446,327.957,181.89,-118.358,229.111,194.026,-74.1968,264.46,205.662,-40.4504,286.839,198.376,-20.0184,298.44,188.517,-9.77505,303.692,181.996,-109.942,219.133,192.659,-66.8633,246.465,208.63,-40.3747,264.255,202.001,-26.7433,272.755,193.898,-18.3342,277.673,186.515,pick
07.18.42.929799,1.924853,1.976394,1.284671,0.466579,0.884313,0.01718,0.631759,0.775164,0.00138287,0.539458,-0.158707,-0.82692,1.21328,-3.44599,-0.683763,-93.2208,262.748,190,-135.367,207.249,180.606,-132.229,236.454,161.97,-132.229,236.454,161.97,-130.488,282.436,159.888,-115.836,310.207,160.427,-100.558,316.463,162.131,-134.273,240.688,183.257,-93.62,294.837,187.217,-61.7693,318.321,186.144,-42.8338,328.252,180.027,-32.6171,332.286,174.951,-126.623,235.878,190.38,-82.5981,282.028,198.704,-47.3509,308.768,195.208,-26.1894,322.022,187.409,-15.619,327.772,181.742,-118.405,229.1,194.024,-74.2489,264.446,205.687,-40.4697,286.734,198.283,-20.0358,298.248,188.329,-9.80055,303.444,181.752,-109.99,219.117,192.681,-66.926,246.452,208.685,-40.4219,264.193,201.989,-26.7917,272.65,193.842,-18.382,277.541,186.442,pick
07.18.42.944759,1.925148,1.976838,1.283234,0.466556,0.884324,0.0172127,0.63214,0.774852,0.00169699,0.540917,-0.159981,-0.825721,-3.68469,-0.321728,2.04987,-93.2658,262.753,190.042,-135.421,207.261,180.637,-132.233,236.441,161.973,-132.233,236.441,161.973,-130.491,282.421,159.848,-115.84,310.191,160.389,-100.564,316.447,162.117,-134.316,240.703,183.25,-93.6454,294.838,187.219,-61.7768,318.296,186.125,-42.8271,328.171,179.963,-32.6083,332.159,174.856,-126.681,235.898,190.393,-82.6502,282.038,198.742,-47.3636,308.713,195.165,-26.1851,321.893,187.289,-15.6139,327.587,181.568,-118.473,229.12,194.06,-74.3221,264.46,205.761,-40.5088,286.655,198.239,-20.0771,298.065,188.163,-9.85411,303.193,181.515,-110.06,219.132,192.746,-67.0134,246.467,208.797,-40.486,264.151,202.045,-26.86,272.554,193.835,-18.4662,277.394,186.384,pick
07.18.42.962713,1.92531,1.977089,1.282851,0.46682,0.884188,0.0170394,0.632309,0.774714,0.00178569,0.541461,-0.160368,-0.825289,-3.50021,-1.36933,0.72175,-93.296,262.741,190.048,-135.452,207.252,180.637,-132.247,236.423,161.964,-132.247,236.423,161.964,-130.506,282.402,159.814,-115.847,310.168,160.349,-100.568,316.414,162.083,-134.344,240.693,183.237,-93.67,294.825,187.213,-61.8083,318.292,186.132,-42.8567,328.16,179.965,-32.638,332.135,174.848,-126.715,235.89,190.386,-82.6841,282.028,198.748,-47.3891,308.689,195.152,-26.2065,321.846,187.251,-15.6378,327.516,181.502,-118.51,229.113,194.062,-74.3629,264.452,205.779,-40.5417,286.622,198.222,-20.114,297.996,188.098,-9.89941,303.097,181.416,-110.098,219.123,192.758,-67.0586,246.459,208.827,-40.5216,264.122,202.059,-26.9001,272.501,193.818,-18.5174,277.318,186.34,pick
07.18.42.978669,1.92604,1.97819,1.282855,0.466537,0.884331,0.0173535,0.631748,0.775173,0.00109593,0.542729,-0.160741,-0.824383,-2.43488,-0.040633,-4.90528,-93.3487,262.753,189.991,-135.487,207.254,180.553,-132.255,236.422,161.861,-132.255,236.422,161.861,-130.527,282.4,159.693,-115.876,310.17,160.238,-100.601,316.42,161.993,-134.387,240.703,183.127,-93.7182,294.836,187.142,-61.8565,318.301,186.042,-42.901,328.133,179.832,-32.6853,332.074,174.684,-126.769,235.902,190.29,-82.7499,282.043,198.699,-47.4389,308.677,195.067,-26.25,321.783,187.101,-15.6835,327.417,181.313,-118.569,229.127,193.981,-74.4398,264.47,205.751,-40.6006,286.594,198.142,-20.1796,297.897,187.927,-9.97725,302.951,181.191,-110.156,219.136,192.695,-67.1409,246.478,208.818,-40.5824,264.095,202.015,-26.9713,272.424,193.706,-18.6166,277.189,186.164,pick
07.18.42.994626,1.926679,1.979052,1.284164,0.46409,0.885603,0.0181033,0.63332,0.77389,-0.00099027,0.542818,-0.159995,-0.82447,0.436427,-0.739102,-2.35268,-93.3489,262.778,189.977,-135.489,207.285,180.524,-132.244,236.454,161.827,-132.244,236.454,161.827,-130.581,282.437,159.704,-116.008,310.247,160.272,-100.758,316.557,162.032,-134.38,240.719,183.096,-93.7279,294.863,187.15,-61.9081,318.386,186.076,-42.9672,328.248,179.866,-32.7578,332.205,174.717,-126.76,235.917,190.256,-82.7567,282.066,198.698,-47.4676,308.732,195.077,-26.2903,321.855,187.106,-15.7322,327.49,181.303,-118.559,229.141,193.942,-74.4412,264.491,205.738,-40.6104,286.627,198.124,-20.2018,297.927,187.879,-10.0104,302.974,181.121,-110.142,219.154,192.649,-67.1367,246.499,208.793,-40.5721,264.108,201.991,-26.9699,272.426,193.655,-18.6434,277.167,186.066,pick
07.18.43.009587,1.927497,1.980398,1.286237,0.46083,0.887285,0.0189893,0.633207,0.77398,-0.00182409,0.543042,-0.158838,-0.824546,1.25462,-1.44582,-2.81179,-93.347,262.784,189.945,-135.451,207.271,180.451,-132.22,236.458,161.764,-132.22,236.458,161.764,-130.624,282.446,159.699,-116.153,310.308,160.295,-100.94,316.705,162.059,-134.36,240.702,183.038,-93.7487,294.871,187.148,-61.9636,318.443,186.085,-43.0373,328.335,179.879,-32.8331,332.314,174.736,-126.739,235.899,190.194,-82.7699,282.072,198.685,-47.5109,308.782,195.092,-26.3479,321.931,187.123,-15.7963,327.58,181.321,-118.533,229.126,193.876,-74.4426,264.496,205.71,-40.6287,286.676,198.145,-20.2302,297.997,187.902,-10.044,303.056,181.145,-110.109,219.146,192.574,-67.1254,246.508,208.749,-40.5588,264.124,201.972,-26.963,272.443,193.625,-18.6531,277.176,186.014,pick
07.18.43.025543,1.928088,1.981419,1.287375,0.458555,0.888446,0.0197589,0.634807,0.772659,-0.00427229,0.543515,-0.158305,-0.824337,2.48662,-3.76496,-2.62197,-93.3339,262.774,189.907,-135.431,207.258,180.403,-132.181,236.439,161.698,-132.181,236.439,161.698,-130.639,282.43,159.668,-116.24,310.328,160.289,-101.052,316.78,162.063,-134.335,240.676,182.973,-93.7496,294.862,187.121,-61.9708,318.439,186.05,-43.0483,328.33,179.835,-32.8462,332.311,174.691,-126.714,235.872,190.13,-82.7697,282.062,198.659,-47.5274,308.796,195.102,-26.3696,321.953,187.138,-15.8194,327.609,181.343,-118.507,229.102,193.813,-74.438,264.488,205.681,-40.6299,286.697,198.187,-20.2311,298.029,187.962,-10.0425,303.096,181.216,-110.078,219.127,192.513,-67.1144,246.502,208.719,-40.5372,264.109,201.964,-26.9425,272.417,193.608,-18.64,277.14,185.982,pick
07.18.43.040503,1.928553,1.981909,1.287581,0.456734,0.889366,0.0205598,0.634698,0.772749,-0.00416522,0.543858,-0.158284,-0.824114,3.31883,-2.56911,1.48215,-93.3058,262.766,189.924,-135.403,207.254,180.399,-132.142,236.438,161.697,-132.142,236.438,161.697,-130.633,282.43,159.705,-116.291,310.357,160.35,-101.125,316.854,162.135,-134.308,240.674,182.971,-93.7181,294.855,187.142,-61.9324,318.418,186.049,-43.0096,328.296,179.82,-32.8089,332.269,174.669,-126.689,235.868,190.13,-82.7434,282.052,198.682,-47.4998,308.781,195.147,-26.3397,321.93,187.182,-15.7881,327.582,181.389,-118.485,229.096,193.815,-74.417,264.476,205.706,-40.6048,286.69,198.265,-20.1987,298.027,188.065,-10.0043,303.098,181.334,-110.056,219.12,192.519,-67.0968,246.488,208.747,-40.5181,264.093,202.001,-26.9254,272.397,193.641,-18.6257,277.116,186.011,pick
